"","intcpt","slp","rsq","scen"
"(Intercept)62",161.462870804504,0.55282458428308,0.247562686363243,"HEALS primary water only"
"(Intercept)63",158.918496872041,0.558118682834682,0.249404269749039,"HEALS primary water only"
"(Intercept)64",162.82768700667,0.549495214827064,0.24251909944006,"HEALS primary water only"
"(Intercept)65",161.148769280911,0.551421751636942,0.237535097863172,"HEALS primary water only"
"(Intercept)66",160.071374197059,0.555372799915338,0.243759906555029,"HEALS primary water only"
"(Intercept)67",163.072216225078,0.552155439730544,0.246616390841268,"HEALS primary water only"
"(Intercept)68",159.430734745271,0.551371279227023,0.250520656755704,"HEALS primary water only"
"(Intercept)69",164.579611191625,0.543973246008675,0.243041381390463,"HEALS primary water only"
"(Intercept)70",161.95806874409,0.55089939132479,0.245010368167162,"HEALS primary water only"
"(Intercept)71",161.189309191571,0.556256127268895,0.24688973714407,"HEALS primary water only"
"(Intercept)72",162.123716430373,0.550677683793808,0.248989803086766,"HEALS primary water only"
"(Intercept)73",160.418673974205,0.557488452101658,0.248444603916845,"HEALS primary water only"
"(Intercept)74",162.279164650722,0.550187741273935,0.246119416298768,"HEALS primary water only"
"(Intercept)75",158.96943987509,0.561503184986066,0.247721496050249,"HEALS primary water only"
"(Intercept)76",162.15173534545,0.556208371241717,0.241427469151924,"HEALS primary water only"
"(Intercept)77",161.524757453993,0.548018229443501,0.247126623540163,"HEALS primary water only"
"(Intercept)78",162.457858600523,0.550184568205842,0.244499578857692,"HEALS primary water only"
"(Intercept)79",162.301843636111,0.545248599023248,0.250681023972714,"HEALS primary water only"
"(Intercept)80",161.998131427536,0.545335092248405,0.25141193319341,"HEALS primary water only"
"(Intercept)81",161.100095841034,0.546346630759259,0.243989747485828,"HEALS primary water only"
"(Intercept)82",159.736009884029,0.563925651693701,0.247182853181524,"HEALS primary water only"
"(Intercept)83",161.115095860941,0.556097666133901,0.240926357614824,"HEALS primary water only"
"(Intercept)84",163.587619140486,0.54917646001275,0.240211740457231,"HEALS primary water only"
"(Intercept)85",159.033933515635,0.561677676137345,0.243836504215516,"HEALS primary water only"
"(Intercept)86",158.978333223166,0.55970193526715,0.250791409652128,"HEALS primary water only"
"(Intercept)87",160.729181889516,0.553299312382554,0.243967286804267,"HEALS primary water only"
"(Intercept)88",160.595279204147,0.559824392999481,0.247940895663441,"HEALS primary water only"
"(Intercept)89",161.542312035648,0.551968642834644,0.243187172439513,"HEALS primary water only"
"(Intercept)90",161.08004007672,0.561816131213476,0.245406992196586,"HEALS primary water only"
"(Intercept)91",161.968435184983,0.55120764996248,0.244180665650145,"HEALS primary water only"
"(Intercept)92",162.478396043439,0.546646665102048,0.244728592615263,"HEALS primary water only"
"(Intercept)93",160.820057168777,0.555069793714656,0.247434088888001,"HEALS primary water only"
"(Intercept)94",159.900633048486,0.559882457533791,0.247908255179755,"HEALS primary water only"
"(Intercept)95",161.818049329909,0.552471048807944,0.242925323240564,"HEALS primary water only"
"(Intercept)96",162.522453710112,0.545183280682965,0.246382064181044,"HEALS primary water only"
"(Intercept)97",163.361540390153,0.544451032059905,0.246950717857888,"HEALS primary water only"
"(Intercept)98",161.288160876704,0.551988366123251,0.24546411732378,"HEALS primary water only"
